Check (release year) as well?

[18/Feb/2019 15:36:16] WARNING [MYAPP:253] Found VA-11 Hall-A KIDS!, no time recorded
[18/Feb/2019 15:36:21] WARNING [MYAPP:253] Found Ninja JaJaMaru-kun, no time recorded
[18/Feb/2019 15:36:42] WARNING [MYAPP:253] Found Jawns, no time recorded
[18/Feb/2019 15:36:45] WARNING [MYAPP:253] Found Wilmot's Warehouse, no time recorded
[18/Feb/2019 15:36:50] WARNING [MYAPP:253] Found Yojimbrawl, no time recorded
[18/Feb/2019 15:36:53] WARNING [MYAPP:253] Found The Jackbox Party Pack 4, no time recorded
[18/Feb/2019 15:36:55] WARNING [MYAPP:209] Found The Jackbox Party Pack 4, not full scores
[18/Feb/2019 15:36:56] WARNING [MYAPP:253] Found Jump Stars, no time recorded
[18/Feb/2019 15:37:00] WARNING [MYAPP:209] Found Jump Stars, not full scores
[18/Feb/2019 15:37:00] WARNING [MYAPP:253] Found A Bathroom Myth, no time recorded
[18/Feb/2019 15:37:11] WARNING [MYAPP:253] Found A Growing Adventure, no time recorded
[18/Feb/2019 15:37:20] WARNING [MYAPP:253] Found A Pirate's End, no time recorded
[18/Feb/2019 15:37:29] WARNING [MYAPP:253] Found air mail, no time recorded
[18/Feb/2019 15:37:35] WARNING [MYAPP:253] Found Archimoulin, no time recorded
[18/Feb/2019 15:37:38] WARNING [MYAPP:253] Found Causeway, no time recorded
[18/Feb/2019 15:37:41] WARNING [MYAPP:253] Found City Clickers, no time recorded
[18/Feb/2019 15:37:47] WARNING [MYAPP:253] Found City Lights, no time recorded
[18/Feb/2019 15:37:52] WARNING [MYAPP:253] Found Clayton's Quest, no time recorded
[18/Feb/2019 15:37:58] WARNING [MYAPP:253] Found DEVIL'S FLOWER, no time recorded
[18/Feb/2019 15:38:03] WARNING [MYAPP:253] Found Earthling Priorities, no time recorded
[18/Feb/2019 15:38:08] WARNING [MYAPP:253] Found Fairy Song, no time recorded
[18/Feb/2019 15:38:13] WARNING [MYAPP:253] Found FAITH, no time recorded
[18/Feb/2019 15:38:16] WARNING [MYAPP:253] Found Freedom Through a Lens, no time recorded
[18/Feb/2019 15:38:29] WARNING [MYAPP:253] Found Ghost Hospital, no time recorded
[18/Feb/2019 15:38:34] WARNING [MYAPP:253] Found Golden Sword of Dragonwalk, no time recorded
[18/Feb/2019 15:38:48] WARNING [MYAPP:253] Found Gone Wandering, no time recorded
[18/Feb/2019 15:38:53] WARNING [MYAPP:253] Found J'accuse!, no time recorded
[18/Feb/2019 15:38:56] WARNING [MYAPP:253] Found K'NOSSOS, no time recorded
[18/Feb/2019 15:38:58] WARNING [MYAPP:209] Found K'NOSSOS, not full scores
[18/Feb/2019 15:38:59] WARNING [MYAPP:253] Found Kirigami, no time recorded
[18/Feb/2019 15:39:02] WARNING [MYAPP:253] Found Labors of Love, no time recorded
[18/Feb/2019 15:39:11] WARNING [MYAPP:253] Found Lavendar, no time recorded
[18/Feb/2019 15:39:13] WARNING [MYAPP:253] Found Legend of Xenia, no time recorded
[18/Feb/2019 15:39:22] WARNING [MYAPP:253] Found Legend of Xenia 2, no time recorded
[18/Feb/2019 15:39:38] WARNING [MYAPP:253] Found Lingotopia, no time recorded
[18/Feb/2019 15:39:41] WARNING [MYAPP:209] Found Lingotopia, not full scores
[18/Feb/2019 15:39:42] WARNING [MYAPP:253] Found Melone in the Dark, no time recorded
[18/Feb/2019 15:39:58] WARNING [MYAPP:253] Found Ministry of Synthesis, no time recorded
[18/Feb/2019 15:40:09] WARNING [MYAPP:253] Found MORNING POST, no time recorded
[18/Feb/2019 15:40:14] WARNING [MYAPP:253] Found Paisley Princess, no time recorded
[18/Feb/2019 15:40:20] WARNING [MYAPP:253] Found Pet the Pup at the Party, no time recorded
[18/Feb/2019 15:41:20] WARNING [MYAPP:253] Found Planet Dysphoria, no time recorded
[18/Feb/2019 15:41:24] WARNING [MYAPP:253] Found Princess Kero, no time recorded
[18/Feb/2019 15:41:30] WARNING [MYAPP:253] Found Project Maiden, no time recorded
[18/Feb/2019 15:41:35] WARNING [MYAPP:253] Found RE: Allistair++, no time recorded
[18/Feb/2019 15:41:38] WARNING [MYAPP:253] Found Rhythm Doctor, no time recorded
[18/Feb/2019 15:41:41] WARNING [MYAPP:209] Found Rhythm Doctor, not full scores
[18/Feb/2019 15:41:42] WARNING [MYAPP:253] Found Roaring Streets!, no time recorded
[18/Feb/2019 15:41:45] WARNING [MYAPP:253] Found Royals, no time recorded
[18/Feb/2019 15:41:49] WARNING [MYAPP:209] Found Royals, not full scores
[18/Feb/2019 15:41:50] WARNING [MYAPP:253] Found Sales Pitch, no time recorded
[18/Feb/2019 15:41:55] WARNING [MYAPP:253] Found SCANLINE, no time recorded
[18/Feb/2019 15:41:57] WARNING [MYAPP:253] Found Shuriken, no time recorded
[18/Feb/2019 15:42:00] WARNING [MYAPP:253] Found Sinewave Samurai, no time recorded
[18/Feb/2019 15:42:06] WARNING [MYAPP:253] Found Small World, no time recorded
[18/Feb/2019 15:42:11] WARNING [MYAPP:253] Found Star Trek: The Hand of Fate, no time recorded
[18/Feb/2019 15:42:39] WARNING [MYAPP:253] Found The Chicken Pain , no time recorded
[18/Feb/2019 15:42:40] WARNING [MYAPP:305] The Chicken Pain  - IIO
[18/Feb/2019 15:42:40] WARNING [MYAPP:306] <type 'exceptions.IndexError'>
[18/Feb/2019 15:42:40] WARNING [MYAPP:307] string index out of range
[18/Feb/2019 15:42:40] ERROR [MYAPP:308] None
[18/Feb/2019 15:42:41] WARNING [MYAPP:253] Found The Huntress of the Hollow, no time recorded
[18/Feb/2019 15:43:10] WARNING [MYAPP:253] Found The Shifting Catacombs of Mu'ralagh, no time recorded
[18/Feb/2019 15:43:38] WARNING [MYAPP:253] Found The Tearoom, no time recorded
[18/Feb/2019 15:43:44] WARNING [MYAPP:253] Found The Tower, no time recorded
[18/Feb/2019 15:43:47] WARNING [MYAPP:209] Found The Tower, not full scores
[18/Feb/2019 15:43:48] WARNING [MYAPP:253] Found The Wit.nes (Demo), no time recorded
[18/Feb/2019 15:43:57] WARNING [MYAPP:253] Found Toryanse: Reel, no time recorded
[18/Feb/2019 15:43:59] WARNING [MYAPP:253] Found URDL, no time recorded
[18/Feb/2019 15:44:02] WARNING [MYAPP:253] Found Visioff, no time recorded
[18/Feb/2019 15:44:05] WARNING [MYAPP:253] Found Where The Goats Are, no time recorded
[18/Feb/2019 15:44:20] WARNING [MYAPP:253] Found You Only Get One, no time recorded
[18/Feb/2019 15:44:35] WARNING [MYAPP:253] Found BLEAK: Welcome to Glimmer, no time recorded
[18/Feb/2019 15:44:38] WARNING [MYAPP:209] Found BLEAK: Welcome to Glimmer, not full scores
[18/Feb/2019 15:44:39] WARNING [MYAPP:253] Found Vidar, no time recorded
[18/Feb/2019 15:44:41] WARNING [MYAPP:209] Found Vidar, not full scores
[18/Feb/2019 15:44:42] WARNING [MYAPP:253] Found Yojimbrawl, no time recorded
[18/Feb/2019 15:44:44] WARNING [MYAPP:253] Found Underhand, no time recorded
[18/Feb/2019 15:44:46] WARNING [MYAPP:253] Found The Time Traveller, no time recorded
[18/Feb/2019 15:44:53] WARNING [MYAPP:253] Found Random Access Murder, no time recorded
[18/Feb/2019 15:44:55] WARNING [MYAPP:209] Found Random Access Murder, not full scores
[18/Feb/2019 15:44:56] WARNING [MYAPP:253] Found Cobra Club, no time recorded
[18/Feb/2019 15:45:00] WARNING [MYAPP:253] Found Seven Sages, no time recorded
[18/Feb/2019 15:45:05] WARNING [MYAPP:253] Found Jetpac Refuelled, no time recorded
[18/Feb/2019 15:45:11] WARNING [MYAPP:253] Found Tailwind: Prologue, no time recorded
[18/Feb/2019 15:45:13] WARNING [MYAPP:253] Found ARK: Survival of the Fittest, no time recorded
[18/Feb/2019 15:45:16] WARNING [MYAPP:209] Found ARK: Survival of the Fittest, not full scores
[18/Feb/2019 15:45:28] WARNING [MYAPP:253] Found Megaman DL, no time recorded
[18/Feb/2019 15:45:33] WARNING [MYAPP:253] Found Devil Hunter Seeker Of Power, no time recorded
[18/Feb/2019 15:45:56] WARNING [MYAPP:253] Found last, no time recorded
[18/Feb/2019 15:46:00] WARNING [MYAPP:253] Found Tales of the Drunken Paladin VII, no time recorded
[18/Feb/2019 15:46:46] WARNING [MYAPP:253] Found Let the Cat in, no time recorded
[18/Feb/2019 15:46:50] WARNING [MYAPP:209] Found Let the Cat in, not full scores
[18/Feb/2019 15:46:50] WARNING [MYAPP:253] Found A Stable Romance, no time recorded
[18/Feb/2019 15:46:59] WARNING [MYAPP:253] Found Caging Me Softly, no time recorded
[18/Feb/2019 15:47:07] WARNING [MYAPP:253] Found Sid Meier's Covert Action, no time recorded
[18/Feb/2019 15:47:09] WARNING [MYAPP:209] Found Sid Meier's Covert Action, not full scores
[18/Feb/2019 15:47:10] WARNING [MYAPP:253] Found Destination Sol, no time recorded
[18/Feb/2019 15:47:13] WARNING [MYAPP:209] Found Destination Sol, not full scores
[18/Feb/2019 15:47:14] WARNING [MYAPP:253] Found BoxesWithGuns, no time recorded
[18/Feb/2019 15:47:15] WARNING [MYAPP:209] Found BoxesWithGuns, not full scores
[18/Feb/2019 15:47:16] WARNING [MYAPP:253] Found A Mini Falafel Adventure, no time recorded
[18/Feb/2019 15:47:31] WARNING [MYAPP:253] Found Deity, no time recorded
[18/Feb/2019 15:47:33] WARNING [MYAPP:209] Found Deity, not full scores
[18/Feb/2019 15:47:34] WARNING [MYAPP:253] Found Solace, no time recorded
